plate,sample,yield,dilution,well,max v [420],kobs,s,vmax correction per [s]
1,e406a,0.567,0.1,a1,2.07e-04,3.30e-01,0.075,4.81e-07
1,e406a,0.567,0.1,b1,9.09e-05,1.45e-01,0.01875,3.83e-07
1,e406a,0.567,0.1,c1,4.73e-05,7.56e-02,0.00469,2.90e-07
1,e406a,0.567,0.1,f1,2.79e-05,4.46e-02,0.00007,4.12e-07
1,e406a,0.567,0.1,h1,9.09e-06,1.45e-02,0,4.26e-07
1,e406a,0.567,0.1,a2,2.57e-04,4.11e-01,0.075,4.81e-07
1,e406a,0.567,0.1,b2,7.39e-05,1.18e-01,0.01875,3.83e-07
1,e406a,0.567,0.1,c2,4.42e-05,7.07e-02,0.00469,2.90e-07
1,e406a,0.567,0.1,g2,1.05e-05,1.67e-02,0.00002,3.65e-07
1,e406a,0.567,0.1,h2,1.78e-17,2.85e-14,0,4.26e-07
1,e406a,0.567,0.1,a3,2.44e-04,3.90e-01,0.075,4.81e-07
1,e406a,0.567,0.1,b3,5.88e-05,9.40e-02,0.01875,3.83e-07
1,e406a,0.567,0.1,c3,3.52e-05,5.62e-02,0.00469,2.90e-07
1,e406a,0.567,0.1,d3,1.52e-05,2.42e-02,0.00117,2.78e-07
1,e406a,0.567,0.1,e3,5.45e-06,8.72e-03,0.00029,1.57e-07
1,e406a,0.567,0.1,f3,1.88e-05,3.01e-02,0.00007,4.12e-07
1,e406a,0.567,0.1,g3,-5.08e-06,-8.13e-03,0.00002,3.65e-07
1,p329w,0.465,0.1,b4,1.30e-04,2.53e-01,0.01875,3.83e-07
1,p329w,0.465,0.1,c4,9.26e-06,1.81e-02,0.00469,2.90e-07
1,p329w,0.465,0.1,d4,1.23e-05,2.41e-02,0.00117,2.78e-07
1,p329w,0.465,0.1,f4,-4.45e-17,-8.68e-14,0.00007,4.12e-07
1,p329w,0.465,0.1,h4,4.85e-17,9.45e-14,0,4.26e-07
1,p329w,0.465,0.1,a5,1.51e-04,2.94e-01,0.075,4.81e-07
1,p329w,0.465,0.1,d5,-3.46e-17,-6.75e-14,0.00117,2.78e-07
1,p329w,0.465,0.1,e5,2.42e-05,4.73e-02,0.00029,1.57e-07
1,p329w,0.465,0.1,f5,2.71e-05,5.28e-02,0.00007,4.12e-07
1,p329w,0.465,0.1,h5,-9.55e-18,-1.86e-14,0,4.26e-07
1,p329w,0.465,0.1,a6,1.67e-04,3.26e-01,0.075,4.81e-07
1,p329w,0.465,0.1,b6,1.06e-04,2.07e-01,0.01875,3.83e-07
1,p329w,0.465,0.1,d6,1.31e-17,2.56e-14,0.00117,2.78e-07
1,p329w,0.465,0.1,e6,-8.96e-18,-1.75e-14,0.00029,1.57e-07
1,p329w,0.465,0.1,f6,1.58e-05,3.07e-02,0.00007,4.12e-07
1,wt5,1.262,0.01,a7,5.89e-02,4.23e+02,0.075,4.81e-07
1,wt5,1.262,0.01,b7,7.97e-02,5.72e+02,0.01875,3.83e-07
1,wt5,1.262,0.01,c7,4.23e-02,3.04e+02,0.00469,2.90e-07
1,wt5,1.262,0.01,d7,1.84e-02,1.32e+02,0.00117,2.78e-07
1,wt5,1.262,0.01,e7,4.54e-03,3.26e+01,0.00029,1.57e-07
1,wt5,1.262,0.01,f7,1.37e-03,9.87e+00,0.00007,4.12e-07
1,wt5,1.262,0.01,g7,3.62e-04,2.60e+00,0.00002,3.65e-07
1,wt5,1.262,0.01,h7,2.91e-05,2.09e-01,0,4.26e-07
1,wt5,1.262,0.01,a8,1.06e-01,7.59e+02,0.075,4.81e-07
1,wt5,1.262,0.01,b8,6.85e-02,4.92e+02,0.01875,3.83e-07
1,wt5,1.262,0.01,c8,4.35e-02,3.12e+02,0.00469,2.90e-07
1,wt5,1.262,0.01,d8,1.55e-02,1.11e+02,0.00117,2.78e-07
1,wt5,1.262,0.01,e8,4.99e-03,3.59e+01,0.00029,1.57e-07
1,wt5,1.262,0.01,f8,1.34e-03,9.64e+00,0.00007,4.12e-07
1,wt5,1.262,0.01,g8,3.15e-04,2.26e+00,0.00002,3.65e-07
1,wt5,1.262,0.01,h8,7.46e-18,5.36e-14,0,4.26e-07
1,wt5,1.262,0.01,a9,8.67e-02,6.23e+02,0.075,4.81e-07
1,wt5,1.262,0.01,b9,6.07e-02,4.36e+02,0.01875,3.83e-07
1,wt5,1.262,0.01,c9,3.76e-02,2.70e+02,0.00469,2.90e-07
1,wt5,1.262,0.01,d9,1.61e-02,1.16e+02,0.00117,2.78e-07
1,wt5,1.262,0.01,e9,3.99e-03,2.86e+01,0.00029,1.57e-07
1,wt5,1.262,0.01,f9,1.07e-03,7.69e+00,0.00007,4.12e-07
1,wt5,1.262,0.01,g9,2.79e-04,2.01e+00,0.00002,3.65e-07
1,wt5,1.262,0.01,h9,-1.76e-05,-1.26e-01,0,4.26e-07
1,wt2,0.878,0.01,a10,5.93e-02,6.13e+02,0.075,4.81e-07
1,wt2,0.878,0.01,b10,6.63e-02,6.84e+02,0.01875,3.83e-07
1,wt2,0.878,0.01,c10,3.69e-02,3.81e+02,0.00469,2.90e-07
1,wt2,0.878,0.01,d10,1.40e-02,1.45e+02,0.00117,2.78e-07
1,wt2,0.878,0.01,e10,4.80e-03,4.95e+01,0.00029,1.57e-07
1,wt2,0.878,0.01,f10,2.57e-03,2.65e+01,0.00007,4.12e-07
1,wt2,0.878,0.01,g10,2.81e-04,2.90e+00,0.00002,3.65e-07
1,wt2,0.878,0.01,h10,2.00e-05,2.07e-01,0,4.26e-07
1,wt2,0.878,0.01,a11,5.46e-02,5.64e+02,0.075,4.81e-07
1,wt2,0.878,0.01,b11,6.58e-02,6.80e+02,0.01875,3.83e-07
1,wt2,0.878,0.01,c11,3.94e-02,4.07e+02,0.00469,2.90e-07
1,wt2,0.878,0.01,d11,1.34e-02,1.39e+02,0.00117,2.78e-07
1,wt2,0.878,0.01,e11,4.28e-03,4.42e+01,0.00029,1.57e-07
